dense, younger: 0.089600510377
dry, short: 1.15305813042
happy, simpler: 1.17210421325
better, longer: 2.14877597606
finest, freest: 5.19758870058
heavier, late: 0.764224510446
nice, pretty: 3.63979427477
earlier, stronger: 1.08718914112
fastest, free: 1.0320976415
bright, earliest: 0.475259820548
firm, strange: -0.143969300058
milder, slower: 4.25035148234
healthier, stranger: 0.366180285171
smallest, tough: 1.00282029663
broad, proud: 0.69778587898
grim, proper: 0.651830003958
faster, narrow: 0.331646327197
darkest, nice: 0.658409492488
newest, truer: 1.17390617713
few, firm: 0.294044120057
lowest, richer: 1.42028746925
modest, slower: 2.64874302444
deader, latest: 0.43309596418
deader, youngest: 1.46933708856
greatest, lovelier: 1.18760224491
larger, weirder: 2.50023281405
greater, subtle: 1.38119590831
finest, strongest: 4.57490339965
fewer, poorer: 2.97183558071
proper, proud: 0.387387623007
newer, nice: 0.856819325915
clearest, true: 1.87619034225
strong, widest: 1.33261071017
easier, happier: 3.59570568172
deader, denser: 3.52996284908
deader, weak: 1.59709663463
cheap, later: 0.228294246721
proud, widest: 0.986310540854
harder, heavy: 1.30851780124
pure, strict: 1.07696295091
narrow, quickest: 0.911133009566
bright, large: 0.874006470162
fairest, finest: 2.16566359584
easier, greater: 2.34211528824
hardest, sounder: 0.730030737247
luckier, narrow: 0.745669206501
quicker, strongest: 1.75772525774
broader, dense: 1.3458047788
easiest, some: 1.00287233942
earlier, worst: 1.06031072446
less, true: 0.516031722917
few, sound: 0.522500343045
greatest, many: 1.27849329336
light, proper: 0.917135434134
biggest, farther: 0.585658281101
latest, stronger: 0.360776909156
far, quieter: 1.71406965202
highest, quick: 0.261035885151
deader, tougher: 3.3065011097
brighter, small: 0.901824895958
far, far: 5.03840167821
highest, little: 0.155263167411
fat, grimmer: 0.235930192969
darker, dead: 1.03704107557
lovelier, newer: 1.62980673175
quick, stricter: 0.57469018655
cool, new: 0.908649942589
earliest, healthy: 0.459270147944
late, strict: 0.63628395812
darker, rarest: 1.52321817906
bad, busy: 1.52813802979
biggest, hot: 1.14902137366
lowest, wider: 0.944046516389
older, tougher: 1.79410358158
warmer, weirder: 4.1919049553
clearest, drier: 0.815856145668
true, weird: 1.64911380762
loud, some: 0.609400562548
closer, lower: 2.12564987692
rarest, youngest: 2.41804804357
broad, poorer: 0.601965360238
longest, rarest: 3.5294135219
fatter, stronger: 4.27610514201
hot, less: 0.165690143584
farther, rarest: 0.918895660361
warmest, weaker: 2.11187640361
firm, upper: -0.065425422006
clearest, older: -0.193166693603
rarest, simpler: 1.0307843768
fast, poorer: 0.641458158509
weakest, wiser: 1.63733060438
good, well: 2.0401847718
dead, late: 0.981598734389
brighter, truer: 4.42576283924
easiest, greener: 2.32163929272
gravest, grimmer: 3.72320360372
fairer, tall: 0.536077365546
cheaper, dark: 0.573317040375
deep, easy: 0.98772611171
cold, wider: 0.105110410037
fat, weakest: 0.701551630865
greatest, newer: 1.06288984507
prouder, worse: 3.18721359161
deeper, prouder: 1.69318784284
fast, weaker: 0.883415567887
cool, fatter: 0.862753835464
most, new: 0.40117902569
far, faster: 1.3600464022
darkest, slow: 0.615750552795
clear, smarter: 1.02141613969
fat, stricter: 0.423048713399
heavier, old: 0.46560576429
hotter, quicker: 4.13623314556
cooler, lovelier: 2.77788380235
drier, early: 1.39892141928
bright, heavy: 0.710662728563
luckier, narrower: 3.36873627093
broad, kosher: 0.551575133012
least, thinner: 0.566311205818
darkest, ever: 1.9847500865
dark, quiet: 2.39853762155
hard, sure: 1.80820098082
lovelier, poorer: 1.77830918676
latter, rarer: 0.986977741869
another, tall: 0.638343075609
finest, firm: 0.350841148206
good, grave: 0.800240828435
bright, warm: 2.32538102624
dead, stupider: 1.92785855282
louder, widest: 1.1385654903
cool, fat: 1.19064217831
deep, wiser: 0.675001204691
happiest, honest: 2.13649929351
far, long: 1.50974126698
clear, dark: 1.26145157679
prettier, quicker: 3.88251516313
grimmer, noble: 1.47519417838
ever, poorer: 0.631049782749
fat, warmer: 1.42808688644
darkest, largest: 2.79182478707
ever, sure: 1.11507432536
happiest, widest: 2.03308746414
clearest, large: 0.546994547923
deader, large: -0.299310678784
cute, slower: 0.768852403592
broadest, rarest: 2.81299132939
weirder, wise: 1.08296916452
rarest, sounder: 0.4556725528
honest, prouder: 2.41486140942
grim, stupid: 1.38697709265
deep, farther: 1.96636221146
faster, lovely: -0.079227114662
quick, safe: 1.3739519493
fewer, rarest: 1.26117877215
honest, more: 1.01837288173
busy, proud: 1.4652770162
freer, safe: 2.35561204666
colder, strange: 1.97731819454
easier, luckier: 3.1986589927
deepest, lowest: 4.18175575817
grim, wider: 1.24965881259
faster, pretty: 1.31197458669
pure, wide: 0.700150147435
simple, taller: 0.338463607392
deeper, rarest: 0.975176680875
kosher, many: 0.703437815742
best, newer: 0.599814894098
farther, smarter: 3.28652917549
freer, prouder: 2.33338202432
lovelier, worse: 3.49053998474
free, narrow: 0.279669826645
rarer, true: 1.70585383752
long, poor: 0.828638001781
earliest, some: 1.1815692026
later, young: 0.359953004688
green, rich: 0.722999869006
hot, rare: 1.67556154301
dense, gravest: 0.096645151615
harder, weakest: 2.47331790177
latest, thin: 0.245647725964
quickest, truer: 1.74488377011
clear, tough: 1.6550233885
poorer, taller: 1.95543190077
best, deep: 0.832679488054
cuter, firmer: 2.58711562813
biggest, old: 0.682588615202
closer, quieter: 2.82210918333
cooler, weaker: 2.69431209341
drier, interest: -0.124842328475
darker, many: 0.932899647437
fair, short: 0.344025719693
healthy, simple: 1.60963617983
rich, truer: 1.31822282848
clear, loud: 1.55135894101
hard, larger: 0.462022722376
grimmer, wiser: 3.67847876594
upper, widest: 1.77639465248
fair, few: 0.181105173215
cheap, easy: 2.92292695119
harder, warm: 0.744071677516
grave, loud: 0.115227767559
fairest, happiest: 3.21128909554
kosher, smarter: 0.631532217332
newer, some: 1.33367546653
clear, harder: 1.48879606372
proper, strictest: 2.4422779475
easier, greener: 3.79474797775
broadest, most: 1.91789502179
fairest, grim: 1.34289438697
strongest, wider: 1.32016184224
clear, quiet: 1.29168859452
smaller, true: 0.770796590605
busier, earliest: 1.05512124545
lucky, small: 1.51834163502
highest, subtle: -0.104455176789
firmer, latest: 0.525466432758
early, milder: 1.50125380993
strict, sure: 1.36218937592
cruellest, quiet: 0.661956080656
colder, hardest: 2.52776864376
hardest, longest: 4.12738529308
older, taller: 4.21959916655
harder, safest: 1.50104044637
warm, weakest: 1.36225739213
deader, hardest: 1.37672116188
good, hot: 1.52048590217
great, pretty: 2.42429250828
dead, largest: 0.566598891188
fairer, loud: 1.06544543065
freest, taller: 0.373328708336
widest, wiser: 0.780716546883
strictest, warmer: 1.10714284787
cuter, worst: 0.873544274666
cruellest, freer: 1.37032339277
quick, safest: 1.28399040563
bad, highest: 0.340805539546
cruel, healthier: 0.324104825394
happier, thinner: 3.52864811081
newer, thin: 0.680908113763
cruellest, subtler: 3.21702999422
smallest, weirder: 1.77101211588
older, young: 2.55081363845
proud, stricter: -0.141953150376
larger, lowest: 1.3515931709
gravest, many: 0.707294204338
heavier, hotter: 4.12073501254
deeper, ever: 0.961363167933
cute, darker: 1.78827456993
clear, higher: 0.211897279346
large, later: -0.126113596537
gravest, rich: 0.486830875207
darker, large: 0.403891134487
newer, nicer: 2.9193680993
easier, happiest: 2.08228917523
dense, dry: 2.31904009478
freer, light: 0.61157703215
surer, young: 0.394078139345
largest, sound: -0.160888705991
late, warm: 1.00572209064
proper, warmest: 0.113489885428
deepest, stupider: 1.18441771577
more, quickest: 0.538189998463
busier, clear: 0.751592597273
farther, newest: 0.600999601731
pretty, surer: 0.774639798057
lovelier, noble: 2.04196468484
cuter, proud: 0.590321572956
clearer, closer: 2.97620379293
happier, sound: 1.09968667529
another, subtle: 0.700885093033
modest, safest: 0.531545070205
ever, greater: 0.780531726936
best, some: 0.78872669143
poorer, simpler: 2.40179463866
nicer, weak: 0.914808106438
long, slower: 0.624340164405
hot, newest: 1.25986975603
busy, gravest: 0.075691713507
least, purer: 0.658123727898
faster, firmer: 2.95017141642
deep, longest: 1.81368548129
narrower, stricter: 2.99367397522
darker, weakest: 2.12893443826
slower, warmest: 2.19658251078
big, worst: 1.51549453555
cuter, stranger: 2.03755738273
smarter, weakest: 1.79983196401
most, weaker: 0.775839270872
pretty, wider: -0.015405900738
big, gravest: 1.10878371248
safer, thinner: 3.40149354633
cuter, richest: 0.612188330858
old, weaker: 0.21896738914
hardest, hot: 1.50828093877
tougher, weaker: 4.53163355588
dense, nicer: 1.31301776203
stranger, weakest: 0.339047068664
taller, thin: 2.55391025577
best, smallest: 2.12580754541
few, grimmer: 1.20108068927
close, fairest: 0.176384794168
longest, worst: 4.61309129707
fast, longer: 0.591235097933
freest, lovelier: 2.63559657233
strict, surer: 1.05520153809
heavy, smart: 0.582684245917
finest, rich: 1.7465184614
cruel, little: 0.939763477735
closest, latest: 0.869144468456
honest, safe: 1.63736852723
dense, great: 0.236706740744
light, younger: 0.234654803258
quicker, worst: 1.24948906155
quick, tough: 2.04177089583
honest, proud: 2.24620192799
larger, louder: 2.91868046268
hotter, weirder: 5.25737732731
rarer, stupid: 1.13792041247
happier, loud: 0.998684977233
finest, wiser: 1.0308095071
busier, healthy: 1.75502026442
heavy, highest: 1.08660192492
another, dark: 0.446900034031
happy, weak: 1.05551384921
deepest, rare: 1.40903502839
dry, longer: 0.88232766449
lesser, stronger: 1.57534927082
dark, shorter: 1.14200019038
fast, hotter: 1.63515602411
grim, simpler: 1.12483144802
low, taller: 0.070717543247
